Pseudonym,Title,Publisher,City,Date,Type
,The Mikado Jewel,Everett,London,1910,Novel
,The Peacock of Jewels,"Digby, Long & Co.",London,1910,Novel
,The Spider,"Ward, Lock & Co.",London,1910,Novel
,High Water Mark,F.V. White & Co.,London,1911,Novel
,The Jew's House,"Ward, Lock & Co.",London,1911,Novel
,The Pink Shop,F.V. White & Co.,London,1911,Novel
,The Rectory Governess,C.H. White,London,1911,Novel
,The Steel Crown,F.V. White & Co.,London,1911,Novel
,A Son of Perdition: An Occult Romance,W. Rider,London,1912,Novel
,Across the Footlights,G. Bell & Sons,London,1912,Novel
,Mother Mandarin,F.V. White & Co.,London,1912,Novel
,Red Money,"Ward, Lock & Co.",London,1912,Novel
,The Blue Talisman,T.W. Laurie,London,1912,Novel
,The Mystery Queen,G.W. Dillingham Co.,New York,1912,Novel
,In Queer Street,F.V. White & Co.,London,1913,Novel
,Seen in the Shadow,F.V. White & Co.,London,1913,Novel
,The Curse,T.W. Laurie,London,1913,Novel
,The Thirteenth Guest,"Ward, Lock & Co.",London,1913,Novel
,Not Wanted,F.V. White & Co.,London,1914,Novel
,The 4 p.m. Express,F.V. White & Co.,London,1914,Novel
,The Lost Parchment: A Detective Story ,"Ward, Lock & Co.",London,1914,Novel
,Answered: A Spy Story,F.V. White & Co.,London,1915,Novel
,The Caretaker,"Ward, Lock & Co.",London,1915,Novel
,The Red Bicycle,"Ward, Lock & Co.",London,1916,Novel
,The Grey Doctor,"Ward, Lock & Co.",London,1917,Novel
,The Silent Signal,"Ward, Lock & Co.",London,1917,Novel
,Heart of Ice,Hurst & Blackett,London,1918,Novel
,Next Door,"Ward, Lock & Co.",London,1918,Novel
,The Black Image,"Ward, Lock & Co.",London,1918,Novel
,Crazy-Quilt ,"Ward, Lock & Co.",London,1919,Novel
,The Master-Mind,Hurst & Blackett,London,1919,Novel
,The Dark Avenue,"Ward, Lock & Co.",London,1920,Novel
,The Other Person,F.V. White & Co.,London,1920,Novel
,The Singing Head,Hurst & Blackett,London,1920,Novel
,The Woman Who Held On,"Ward, Lock & Co.",London,1920,Novel
,The Unexpected,Odhams Press,London,1921,Novel
,Three,"Ward, Lock & Co.",London,1921,Novel
,A Trick of Time,Hurst & Blackett,London,1922,Novel
,The Moth-Woman,Hurst & Blackett,London,1923,Novel
,The Whispering Lane,"Small, Maynard & Co.",Boston,1925,Novel
,The Caravan Crime / The Caravan Mystery,Hurst & Blackett,London,1926,Novel
,The Last Straw,Hutchinson & Co Ltd.,London,1932,Novel
,The Unwilling Bride,J.S. Ogilvie Pub Co.,New York,???,Novel
